นาย	Mr.
มี	1) to consist of/to comprise/to include (อาหารหลักที่สำคัญต่อชีวิตเรามี 5 หมู่)<div>2) rich/wealthy (เขาเป็นคนมีคงไม่หันมามองคนจนๆ อย่างเรา)</div><div>3) to have/to own (เขามีสุนัขอยู่ที่บ้านเกือบ 10 ตัวทั้งหมดเป็นพันธุ์ไทยหลังอาน)</div><div>4) it is/they are/there is/there are (ช่วงนี้มีฝนตกชุก ควรเลื่อนการก่อสร้างออกไปก่อน)</div>
อะไร	1) (pron) whatever (ปัจจุบันนี้ในกระทรวงศึกษาธิการ อะไรก็สามารถเกิดขึ้นได้ทั้งนั้น)<div>2) (adv) whatever (ไม่ว่าหล่อนจะขยับตัวทำอะไรก็จะตกเป็นข่าวทั้งสิ้น)</div><div>3) (question) what (การเล่นอินเตอร์เน็ตให้ประโยชน์อะไรกับผู้เล่นบ้าง)</div><div>4) (determiner) any (see also: every) (ไม่ว่ามหาวิทยาลัยจะจัดงานจัดกิจกรรมอะไร ก็มักจะได้เขาเป็นสปอนเซอร์อยู่เสมอ)</div><div>5) something (ผมมีอะไรจะบอก)</div>
เกี่ยว	1) to hook/to seize/to catch (มันใช้ปลายหางของมันเกี่ยวเป็นตะขอหรือดึงอะไรๆ ได้คล้ายมือเวลามันไต่ไปมา)<div>2) to connect/to realte/to invlove (วัตถุประสงค์ของกลุ่มนี้ก็คือแลกเปลี่ยนไอเดียข่าวสารความเห็นที่เกี่ยวกับคอมพิวเตอร์)</div><div>3) to reap/to harvest/to mow (ชาวชนบทที่เข้ามาทำงานในกรุงเทพ จะต้องกลับบ้านไปช่วงระยะเวลาหนึ่งเพื่อไปเกี่ยวข้าวในหน้านา)&nbsp;</div>
ข้อง	1) the fish trap ()
กับ	1) with (prep) (ผมยากคุยกับคุณ) (นักประวัติศาสตร์มีความคิดเห็นขัดแย้งกับความเชื่อเดิม)<div>2) with ('by') (พยานเห็นเหตุการณ์กับตาจึงได้แจ้งตำรวจ)</div><div>3) and (conj) (like with) (แดงกับดำเป็นเพื่อนกัน)</div><div>4) on (prep) (like at) (ทุกวันอาทิตย์ เขาจะอยู่บ้านและนั่งเล่นกับพื้นหญ้า)</div><div>5) the trap/the snare; count unit: (อัน) (เขาวางเหยื่อล่อเพื่อให้หนูมาติดกับ)</div>
ข้องกับ	related to (prep)
เกี่ยวกับ	"1) about (prep) (หนังสือหรือตำราเกี่ยวกับเรื่องคอมพิวเตอร์ที่เป็นภาษาไทยนั้นไม่รู้ว่าจะไปหาอ่านได้ที่ไหน)<div>2) to be about/to concern (การปราศรัยครั้งนี้ไม่เกี่ยวกับพรรคการเมืองไหนทั้งนั้น))</div><div><br /></div><div>NOTE: use with stories and information. &nbsp;use ประมาณ for ""about"" as in ""approximately""</div>"
เรื่อง	1) the story (matte/affair) (ความเจ็บปวดในเรื่องความหิวกระหาย เป็นเรื่องที่ทำให้คนแสดงพฤติกรรมที่เข้าหา)<div>2) the trouble (quarrel/matter/problem) (ลูกชายบ้านนั้นมีเรื่องกับคนอื่นไม่เว้นแต่ละวัน)</div>
แปลก	1) to be strange/to be odd (ผู้ชายคนนี้แปลกจัง ชอบมาวนเวียนอยู่หน้าบ้านฉันทุกวันเลย)<div>2) strange/odd (เมื่อวานมีเรื่องแปลกเกิดขึ้นในหมู่บ้าน)</div>
words with similar meaning next to each other	stresses the meaning/importance and/or make it sound better
ลึกลับ	1) mysterious/esoteric/hidden
ลึก	1) deep (bottomless) (คูเวตมีชัยภูมิประเสริฐ มีท่าเรือน้ำลึกอยู่ตรงปากทางออก)<div>2) to be deep (บ่อน้ำตรงนี้ลึกนะ เด็กๆ อย่าลงไปเล่นตามลำพัง)</div><div>3) (adv) deeply/profoundly (เมื่อคิดไปให้ลึกแล้วจะพบว่ามันไม่ใช่เรื่องง่ายๆ เลย)</div>
ลับ	1) to fade (away) (ผู้ชายคนนี้ไม่เคยลับไปจากความจำของผมเลย)<div>2) to sharpen (whet) (คนสมัยก่อนรู้จักนำหินมาลับให้แหลม นำเหล็กมาตีให้คมใช้เป็นอาวุธ)</div><div>3) (adj) secret (อั้งยี่ซานเหอเป็นสมาคมลับเก่าแก่มาตั้งแต่โบราณ)</div>
เพราะ	1) (adj) melodious (ฉันชอบเพลงนี้ตรงที่มีทำนองเพราะน่าฟัง ไม่ได้ชอบที่ตัวคนร้อง)<div>2) (conj) because ( ี่รัฐบาลตัดสินใจสลายการชุมนุมอย่างรวดเร็ว เพราะหากปล่อยให้ยืดเยื้อย่อมกระทบต่อการลงทุนของต่างชาติ)</div>
วัน	1) the day (ผู้นำฝ่ายค้านคาดว่าแต่ละวันแต่นี้ไปสถานการณ์จะรุนแรงกว่านี้)
เข้า	1) to reach (รถประจำทางจะเข้ามาที่สถานีตรงเวลาทุกวัน)<div>2) to enter (เด็กๆ รีบเข้าไปในบ้านก่อน อย่าให้โดนฝน เดี๋ยวไม่สบาย)</div><div>3) to get along with (เด็กๆ เข้ากับเพื่อนใหม่ได้ดี)</div><div>4) to put in (หลังจากขายสินค้าชิ้นแรกได้ แม่ค้ารีบเก็บเงินเข้ากระเป๋าอย่างรวดเร็ว)</div>
ไป	1) to go (เขาไปกรุงโรม)
เข้าไป	1) to enter (ผู้มาร่วมพิธีเข้าไปในโบสถ์หมดแล้ว)
ยุ่ง	1) (v) to be disheveled/to be tousled/to be messy ()<div>2) (v) to meddle ()</div><div>3) (adj) busy/full/occupied ()</div><div>4) (adj) messy/in disorder/in confusion ()</div><div>5) the barn/the silo/the storehouse ()</div>
ไร้	1) to lack/to be devoid of (จังหวัดที่มีเกษตรกรไร้ที่ดินทำกินมากที่สุดได้แก่จังหวัดสุมทรปราการ)
สาระ	1) the essence ()<div>2) the substance ()</div>
ไร้สาระ	1) (adj) absurd (nonsense/ridiculous) ()<div>2) (adj) crap (worthless/useless) ()</div>
แบบ	1) the mould (สิ่งที่แกะหรือสลักเป็นต้น ให้เป็นรอยลึกลงไปหรือนูนขึ้นมาเพื่อใช้เป็นแม่พิมพ์)<div>2) the model (style/way/form/pattern) (การคลอดแบบโบราณนั้นทำกันที่บ้าน ทำในห้องต่อหน้าสามี)</div>
แบบนั้น	“like that”
เด็ด	1) to pick (pluck off) (ห้ามเด็ดดอกไม้ใบไม้ในสวนสาธารณะ)<div>2) excellent/superb (นักมวยยังไม่ได้ปล่อยหมัดเด็ดของเขา)</div><div>3) (adv) absolutely (ผมไม่เอาเขาเด็ดๆ)</div>
ขาด	1) to be torn/to be ragged/to be worn out (เสื้อเขาขาดเป็นริ้วๆ เพราะโดนคนร้ายเอามีดฟัน)<div>2) to miss/to be absent (สมศักดิ์ขาดโรงเรียนไปหลายวัน เพราะเป็นไข้หวัด)</div><div>3) to lack of/to be short of (โรงงานของเรายังขาดวัตถุดิบที่จะนำมาผลิตสินค้าอีกมาก)</div>
เด็ดขาด	1) to be decisive/resolute/firm (ทหารต้องเด็ดขาด)<div>2)&nbsp;[if at end of sentence] ever/at all [intensifier]; absolutely (เขาตั้งใจจะเลิกสูบบุหรี่โดยเด็ดขาด)</div>
เงิน	1) the money; count unit บาท (ข้อมูลของคุณมีค่ามากกว่าเงินเพียงไม่กี่สิบบาท)&nbsp;<div>2) the silver (บางคนชอบเครื่องประดับที่ทำจากเงิน)</div>
คิดเงิน[ดัวย]	“check please” (lit “think money also/with/by/because”)
ผู้อำนวยการ	1) the director/the chief; count unit: คณ (ตอนนั้นผมทำงานในตำแหน่งผู้อำนวยการโครงการวิจัยภาษาธรรมชาติอยู่ที่ศูนย์ปัญญาประดิษฐ์)
อำนวยการ	1) to direct (manage, give orders) (พระองค์ทรงเป็นทั้งบรรณาธิการและอำนวยการหนังสือพิมพ์ ที่ออกโดยคนไทยฉบับแรกนี้)
บริษัท	1) the company/the corporation/the firm/the agency
กรัน	1) dwarf (small) (เขามีร่างกายเตี้ยและกรัน ดูแล้วไม่ได้ส่วน)<div>2) kind of banana (count unit: ผล, หวี) ()</div>
ซึ่ง	1) which (that/where) (เราต้องการหนังสือซึ่งใช้อ้างอิงได้)
กรันนิงส์	Grunnings, Mr. Dursley’s company
ผลิต	1)&nbsp;to generate (เครื่องทำความร้อนจะผลิตความร้อนออกมาในปริมาณที่พอเหมาะ)<div>2) to manufacture (ประเทศญี่ปุ่นผลิตเครื่องจักรกลออกขายทั่วโลก)</div>
สว่าน	1) the drill (tool); count unit ตัว (ช่างไม้กำลังใช้สว่านเจาะกำแพงเพื่อแขวนตะปู)
เป็น	1) to be (something)<div>2) (adj) alive/existent/living (เขาซื้อปลาเป็นๆ มาทำอาหาร)</div><div>3) to be able to (เรื่องประกอบเครื่องเราไม่ต้องสอนเขา เพราะเขาเป็นอยู่แล้ว)</div>
ตัว	1) (pron) you (ตัวจะไปเที่ยวกับพวกเราไหม)<div>2) numerical classifier for animals and things (ภายในห้องนี้เป็นห้องโล่ง มีเพียงเก้าอี้ 2 ตัว)</div><div>3) the body/the figure/the physique; count unit: ตัว (ผู้ก่อการร้ายเป็นตัวดีในการวางระเบิดเส้นทางรถไฟชายแดนภาคใต้)</div>
ล่ำ	1) muscular (stout/brawny/stalwart/athletic/strong) (ชายร่างล่ำมีหน้าที่พาวัวออกไปกินหญ้า)
ใหญ่	1) (adj) big/large/great/major/important (ขาเป็นเจ้าของปั๊มน้ำมันที่ใหญ่ที่สุดในประเทศไทย)<div>2) to be big/to be large/to be huge (บ้านใหม่ของเขาใหญ่มาก ใช้งบในการสร้างเกือบสิบล้าน)</div>
คอ	1) the popularity (fondness/admiration) (ผมเป็นคอหนังสืออยู่แล้ว เมื่อสิ้นกระบวนการชมจึงต้องแวะเข้าไปอุดหนุนตามธรรมเนียม)<div>2) the neck (การก้มเงยและนั่งอยู่ตลอดเวลาจะทำให้มีอาการของการปวดเมื่อยคอ หลังและแขน) count unit:&nbsp;คอ</div><div>3) the collar (ทุกคนใส่เสื้อคอกว้าง แขนกุดกับกางเกงขาสั้น)&nbsp;</div>
สั้น	short/concise/brief/squat
จน	1) until/till (กายกับจิตมีความสัมพันธ์กันอย่างใกล้ชิดจนไม่อาจแยกออกเป็นอิสระจากกันได้)<div>2) to be poor/to be poverty-stricken (ครอบครัวนี้จนมากไม่มีแม้แต่ที่จะซุกหัวนอน)</div>
เรียก	1) to call (shout, maybe phone) (ผมเรียกจนแสบคอ เธอก็ยังไม่หันมา)
ได้	1) to get/to obtain/to receive (นักท่องเที่ยวได้ข้อมูลนี้จากหนังสือนำเที่ยว)<div>2) (adv) can/to be able to/to be capable of (comes at end) (พนักงานต้อนรับที่นี่พูดภาษาอังกฤษได้)&nbsp;(เด็กจะกินข้าวได้ต่อเมื่อล้างมือเรียบร้อยแล้ว)</div><div>4) (aux verb before principal) [indicate past tense] (ตอนที่ไปเที่ยวเมืองจีน เขาได้ไปเยี่ยมชมกำแพงเมืองจีน)</div>
เทียว	1) to go there and back / to go to and fro (เขาเทียวไปเทียวมาที่บ้านฉัน)<div>2) (adv) absolutely (อย่าไปที่นั่นเทียว)</div><div>3) the pipe-shaped or cylindrical flag (เราจะประดับธงเทียวเวลามีงาน)</div>
ตอน	"1) numerical counter for a section/part/passage/division (หนังสือเล่มนี้แบ่งออกเป็น 2 ตอน ตอนแรกเป็นภาษาไทย ตอนที่สองเป็นภาษาอังกฤษ)<div>2) (prep) period (like ""at"") (เขานึกได้ว่านัดเพื่อนไว้ที่ร้านพิซซ่าแถวลาดพร้าวตอนห้าโมงเย็น)</div><div>3) (conj) when (พ่อกลับมาบ้านตอนฝนตกพอดี)</div><div>4) the part/the portion (ข้อความเชิงอรรถจะปรากฏอยู่ตอนท้ายของย่อหน้าหรืออยู่ที่บรรทัดล่างสุดของหน้ากระดาษแต่ละหน้า)</div><div>5) to castrate (หลังจากแม่สุนัขออกลูกคอกนี้แล้ว เจ้าของจะพามันไปตอน)</div>"
วันจันทย์	Monday
วันอังคาร	Tuesday
วันพุท	Wednesday
วันพฤหัส	Thursday
วันศุกร์	Friday
วันเสวร์	Saturday
วันอาทิตร์	Sunday
วันนี้	Today (จงระลึกว่าวันนี้เป็นวันแห่งการเสียสละของบรรพบุรุษของเรา)
พรุ่งนี้	1) tomorrow (พรุ่งนี้ค่อยไปหาซื้อของกินในเมืองมาเตรียมไว้)
วันนี้วันอะไร	"""What day is today?"" {Day this day what?}"
วันนี้วันที่เท่าไหร่	What is the date? (answer with number only) {Day this day at how much?}
วันนี้[วัน]	Today is [name of day]
วันนี้วันที่[เลข]	"""Today is [day number]"" {Day this day at [number]}"
วันพรุ่งวันอะไร	What day is tomorrow?
วันพรุ่งวันที่เท่าไหร่	What is the date (number) tomorrow?
วันพรุ่งวันที่[เลข]	Tomorrow is the [date number]
เมื่อวานวันอะไร	Yesterday is what day [name]?
เมื่อวาน[วัน]	Yesterday was [day name]
เมื่อวานวันที่เท่าไหร่	Yesterday was what date? (number)
เมื้อวานวันที่[เลข]	Yesterday was the [day number].
ความสุข	1) happiness (หากเราเดินสายกลางไม่ตึงหรือหย่อนเกินไปแล้วชีวิตเราจะมีความสุข)
วันนี้คุณมีความสุขไหม	"""Are you happy today?"" {Day this you have happiness [quesition word]}"
เท่าไหร่	How much/How many? (question about number) (ฉันต้องชดใช้ค่าเสียหายเป็นเงินเท่าไหร่)
"Full ""non-conforming"" consonant cluster tone rule and examples"	<div>In syllables with initial consonant clusters, the overall lexical tone is determined by the consonant class of:</div><div>• the first consonant in the cluster, if the second consonant is a sonorant;&nbsp;(สนุก)</div><div>• the second consonant in the cluster, if the second consonant is not a sonorant. (ทหาร [1) solider]; แสดง [1) to act/to perform/to demonstrate/to show/to display, 2) the acting/the show/the demonstration/the performance, 3) the actress/the actor] เฉพาะ [specific/particular/limited/provisional] แขนง [1) the small branch/the twig/the offshoot, 2) branch of a family of science, 3) numerical classifier for branches and twigs] ไฉน (1) why; wherefore, 2) a type of oboe/flute)</div>
กำ	1) [numerical unit] handful (ดอกไม้ 3 กำใหญ่ๆ ถูกนำมาจัดเป็นช่ออย่างงดงาม)<div>2) to grasp (ครูผู้ฝึกสอนบอกให้เขากำด้ามแร็คเก็ตแน่นๆ)</div><div>3) spokes of a wheel (count unit: ชี่)</div><div>4) linear measure equal to 8 inches</div>
กำลัง	1) circumference of a tree<div>2) the power/the strength/the energy/the force (เขาเป็นคนที่มีร่างกายแข็งแรง จึงทำให้มีพละกำลังมาก)</div><div>3) (aux) being (e.g., in the act of / in the process of) (พจนานุกรมมโนทัศน์กำลังพัฒนาอยู่ที่อีดีอาร์)</div>
ลัง	1) the box/the case/the casket (ภายในลังนั้นเป็นหนังสือชาวกรุงล้วนๆ)<div>2) numerical counter for crate, box, case, chest (เจ้าหน้าที่นำของมาส่ง 5 ลัง)</div><div>3) species of marine fish (short mackerel) (ปลาลังมีครีบฝอยจำนวน 5 ครีบ อยู่ถัดไปทางโคนหาง) (count unit ตัว)</div>
พ่อ	1) the father/the dad (ผลการวิจัยพอสรุปได้ว่าชายได้รับอิทธิพลจากพ่อมากกว่าหญิง)
ต้อง	1) (aux) must/shall/ought to (&nbsp;มนุษย์เราจำเป็นต้องใช้ชีวิตร่วมกับผู้อื่น)<div>2) to touch/to contact (สีรุ้งที่เห็นนั้นมาจากแสงอาทิตย์ที่ส่องต้องเม็ดทราย)</div><div>3) to fall into/hit by (เขาต้องโทษสถานหนักติดคุกตลอดชีวิต)</div>
จะ	1) (aux) will/shall (การอนุรักษ์สิ่งแวดล้อมจะสัมฤทธิ์ผลได้ถ้าทุกคนร่วมมือกัน) synonym จัก&nbsp;
กว้าง	1) (adv) widely (ในการมองชนบทไทยควรจะมองให้กว้าง เพราะเป็นแหล่งชนบทที่สำคัญของโลกที่เราหลงลืมกันไป)<div>2) to be wide (ถนนในหมู่บ้านกว้างมาก)</div><div>3) the width/the extensiveness ()</div>
ผู้	"1) ""one who somethings""/[something]-er (""ผู้อำนวยการ"")"
ดอกไม้	1) baby tooth; count unit () (ฟันของเด็กที่แรกขึ้น) (emmy says not used anymore)<div>2) flower/blossom/bloom; count unit ดอก (ดอกไม้ในกระถางนี้ออกดอกทุกๆ อาทิตย์)</div>
วันพรุ่งนี้[วัน]	Tomorrow is [day name]
เมื่อวาน	yesterday
ways to form compound nouns (and examples)	1) [head noun] + [noun attribute]<div>รถไฟ: train (vehicle + fire)</div><div>ร้านอาหาร: restaurant (shop + food)</div><div>เงินเดือน: salary (money + month)</div><div>ช่างไฟฟ้า: electricition (mechanic + electricity)</div><div>2) [head noun] + [verb (+ object) attribute]</div><div>นำ้แข็ง: ice (water + to be hard)</div><div>บทเรียน: lesson (text + study)</div><div>คำแนะนำ: introduction (word + introduce)</div><div>คนขับรถ: driver (person + to drive + car)</div><div>เคื่รองซักผ้า: washing machine (machine + to wash + clothes)</div>
นัก[verb or noun]	"""one skilled in [verb or noun]""<div>Examples:</div><div>- นักศึกษา student (+ to study)</div><div>- นักเขียน writer (+ to write)</div><div>- นักกีฬา sportsman/athlete (+ sport)</div><div>- นักธุรกิจ businessman (+ business)</div><div>- นักหนังสือพีมพ์ journalist (+ newspaper)</div>"
ผู้[verb or noun, usually verb]	"""one who...""<div>ผู้ใหญ่: adult (+ to be big/to be important)</div><div>ผู้เชี่ยวชาณ: expert (+ to be skilled)</div><div>ผู้ร้าย: crimial (+ to be bad)</div><div>ผู้ชาย: man (+ male)</div><div>ผู้หญิง: woman (+ female)</div>"
ใบ[+verb or sometimes noun]	"<div>""a sheet of paper + [verb or sometimes noun]""</div>ใบรับรอง: the guarantee (+to guarantee)<div>ใบสัญญา: the contract (+to promise)</div><div>ใบอนุญาต: the permit (+to permit)</div><div>ใบขับขี่: the driving license (+to drive)</div><div>ใบเส็จรับเงิน: the receipt (+finish +receive +money</div>"
โรง[noun or verb]	"""a large building [+ noun or verb]""<div>โรงรถ: garage (+car)</div><div>โรงงาน: factory (+ work)</div><div>โรงหนัง: cinema (+ film/movie)</div><div>โรงแรม: hotel (+ to stay overnight)</div><div>โรงเรียน: school (+ to study)</div>"
การ[+ noun] or [+ verb]	"""matters of [noun]"" or ""the act of [verb], in many instances like a gerund""<div>การบ้าน: homework (+house/home)</div><div>การไฟฟ้า: Electricity Authority (+electricity)</div><div>การเงิน: finance (+money)</div><div>การเมือง: politics (+city/country)</div><div>การรักษา: care/preservation (+to care for)</div><div>การสึกษา: education (+to study)</div><div>กานช่วยเหลือ: assistance (+to assist)</div><div>การเดินทาง: travel (+to travel)</div><div>กานกิน: eating (+to eat)</div><div>กานรบ: fighting (+to fight)</div><div>การเรียน: studying (+to study)</div><div>การพูด: speaking (+to speak)</div><div>usually a gerund in this sense ""act of"" is used without ""การ"" in spoken Thai</div>"
ความ[verb]	"""(used to form abstract nouns) + verb""<div>ความรัก: love (+to love)</div><div>ความรู้: knowledge (+ to know)</div><div>ความคิด: idea (+ to think)</div><div>ความสำเร็จ: success (+to complete)</div><div>ความสุข: happiness (+to be happy)</div>"
